https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1619001000,2021-04-21 10:30:00,BTC/USDT,55178.09839723,55237.7621733,54800.0,54911.0993592,1933323.85126003,35.1474463
1618999200,2021-04-21 10:00:00,BTC/USDT,55581.74414551,55595.46757435,55185.29367165,55185.29367165,1805331.97853158,32.60747941
1618997400,2021-04-21 09:30:00,BTC/USDT,55620.05349108,55710.0,55485.00001001,55600.0,664211.02221891,11.94341086
1618995600,2021-04-21 09:00:00,BTC/USDT,55433.86163835,55750.0,55284.73341122,55620.05349108,916584.80551426,16.50831066
1618993800,2021-04-21 08:30:00,BTC/USDT,55199.65653428,55664.38286146,55152.35490286,55438.34407485,568036.0261857,10.23750871
1618992000,2021-04-21 08:00:00,BTC/USDT,55300.15210294,55443.42341597,54800.0,55211.59337804,2470675.75202148,44.83527304
1618990200,2021-04-21 07:30:00,BTC/USDT,55309.26000938,55494.86495691,55180.49432936,55299.63957241,1092238.00887901,19.75118609
1618988400,2021-04-21 07:00:00,BTC/USDT,55556.40174262,55697.0894,55226.84365908,55278.02876348,1127914.41970904,20.35081503
1618986600,2021-04-21 06:30:00,BTC/USDT,55772.0,55772.0,55555.48024429,55556.40174261,233330.01173682,4.18982617
1618984800,2021-04-21 06:00:00,BTC/USDT,55399.43764952,55816.17882852,55152.86063033,55774.31145347,1314915.04943472,23.69544844
1618983000,2021-04-21 05:30:00,BTC/USDT,55493.99999999,55572.0,55077.77554657,55406.46782706,627203.01489713,11.33694769
1618981200,2021-04-21 05:00:00,BTC/USDT,55401.00000001,55664.38291678,55130.81839673,55460.97300421,587118.78811307,10.57925484
1618979400,2021-04-21 04:30:00,BTC/USDT,55357.0,55555.26286384,55335.89863018,55401.00000001,646500.64746638,11.65877866
1618977600,2021-04-21 04:00:00,BTC/USDT,55222.55284923,55422.3598477,55000.7584067,55370.0,467603.12540701,8.47063122
1618975800,2021-04-21 03:30:00,BTC/USDT,55757.89897756,55863.48858285,55205.00000001,55205.00000001,618102.31318479,11.13540713
1618974000,2021-04-21 03:00:00,BTC/USDT,56122.0,56176.12265241,55641.4902685,55749.31257666,464117.66650029,8.29427873
1618972200,2021-04-21 02:30:00,BTC/USDT,56021.77452581,56251.8312776,55996.03611818,56143.55832633,433644.87203204,7.72016779
1618970400,2021-04-21 02:00:00,BTC/USDT,56062.0,56067.05264979,55907.5599058,56016.7784258,826974.11633599,14.77452048
1618968600,2021-04-21 01:30:00,BTC/USDT,55877.34288711,56202.54177141,55763.0,56075.72842751,1231046.03390326,22.00281664
1618966800,2021-04-21 01:00:00,BTC/USDT,55690.40251663,55903.65817886,55364.92150371,55877.01676571,1151516.54038521,20.70224019
1618965000,2021-04-21 00:30:00,BTC/USDT,56659.64944819,56659.64944819,55583.45615234,55663.07230373,1149384.27381104,20.56702602
1618963200,2021-04-21 00:00:00,BTC/USDT,56438.78312837,56760.94800579,56317.00335737,56659.6494482,891528.65410039,15.75764808
1618961400,2021-04-20 23:30:00,BTC/USDT,56488.19837278,56561.84245693,56201.82226616,56468.76363255,834165.65484751,14.78605625
1618959600,2021-04-20 23:00:00,BTC/USDT,56386.57128633,56555.1374792,56236.89297957,56488.19837278,925400.6557203,16.39130342
1618957800,2021-04-20 22:30:00,BTC/USDT,56488.50000002,56597.50799299,56096.0,56386.57128632,778002.86333662,13.78746905
1618956000,2021-04-20 22:00:00,BTC/USDT,57024.96077814,57057.74227881,56465.39209245,56488.50000001,492825.60001391,8.68890348
1618954200,2021-04-20 21:30:00,BTC/USDT,56469.79547746,57020.76263946,56452.70901797,57016.95018301,613130.09488739,10.81468457
1618952400,2021-04-20 21:00:00,BTC/USDT,56735.00000001,56822.9124903,56423.42944687,56468.76082092,1793512.36529935,31.63715408
1618950600,2021-04-20 20:30:00,BTC/USDT,56885.60146088,57059.85297013,56714.658,56735.00000001,1968547.08410144,34.57603223
1618948800,2021-04-20 20:00:00,BTC/USDT,56577.08815343,56943.27582793,56364.46750709,56918.70297547,2689084.48631032,47.43138675
1618947000,2021-04-20 19:30:00,BTC/USDT,56439.11336997,56738.93863889,56312.94081616,56573.189215,3350539.73172305,59.24059387
1618945200,2021-04-20 19:00:00,BTC/USDT,56252.78574408,56500.0,56195.00974501,56433.61450863,1392823.0702072,24.70448647
1618943400,2021-04-20 18:30:00,BTC/USDT,56163.81038179,56399.99999999,55908.02136909,56231.28889975,2671643.3252126,47.5270716
1618941600,2021-04-20 18:00:00,BTC/USDT,55874.34825334,56176.23024769,55718.55951735,56163.8103818,1668006.48696797,29.79923168
1618939800,2021-04-20 17:30:00,BTC/USDT,55689.02688885,55920.03767979,55582.92737103,55858.29153918,837767.77391698,15.02641957
1618938000,2021-04-20 17:00:00,BTC/USDT,55784.0,55842.07323246,55537.05391709,55712.39827708,1404818.23397243,25.21330956
1618936200,2021-04-20 16:30:00,BTC/USDT,55504.39682023,55790.0,55153.03780701,55790.0,2246981.00418536,40.55458099
1618934400,2021-04-20 16:00:00,BTC/USDT,55326.72238206,55635.30754183,55109.9297732,55504.14429371,1624579.97581589,29.29231861
1618932600,2021-04-20 15:30:00,BTC/USDT,54986.45154958,55435.14275399,54685.0,55328.69830802,2604468.58972532,47.30844118
1618930800,2021-04-20 15:00:00,BTC/USDT,55332.29990377,55552.99999999,54900.0,54986.45154957,1867853.09166036,33.77984021
1618929000,2021-04-20 14:30:00,BTC/USDT,56048.40135652,56048.40135652,55222.0,55324.00000001,2708930.7931108,48.76521868
1618927200,2021-04-20 14:00:00,BTC/USDT,56329.78838789,56464.19999999,55954.27733636,56048.40135652,1808342.3674426,32.13260665
1618925400,2021-04-20 13:30:00,BTC/USDT,55993.90440102,56329.78838789,55993.90440102,56318.7831531,2181864.45540657,38.83604642
1618923600,2021-04-20 13:00:00,BTC/USDT,55841.99999509,56135.51439359,55780.45454433,55995.61179119,1234143.11059365,22.05350662
1618921800,2021-04-20 12:30:00,BTC/USDT,55820.0,56075.94936708,55740.0,55826.0,894162.33848438,15.99412746
1618920000,2021-04-20 12:00:00,BTC/USDT,56278.04888936,56278.04888936,55627.95509395,55794.54804676,1866103.07684945,33.34263899
